iter	Logloss
0	0.6672828341
1	0.6418893682
2	0.6196768685
3	0.5972935762
4	0.5765404114
5	0.5576929494
6	0.5396974931
7	0.523143454
8	0.5074360155
9	0.492753163
10	0.4786870029
11	0.4655604367
12	0.4539987964
13	0.4426673198
14	0.4324830442
15	0.4223441373
16	0.4130318705
17	0.4039985836
18	0.3955666249
19	0.3880686848
20	0.3805160127
21	0.3737347806
22	0.3669194155
23	0.3605691019
24	0.354909854
25	0.3492329224
26	0.344118462
27	0.3393895299
28	0.3353669
29	0.3303565197
30	0.3263973678
31	0.3225232717
32	0.3190471104
33	0.3155523716
34	0.3119591068
35	0.3087864185
36	0.3055802143
37	0.3027493454
38	0.3001999888
39	0.2976548881
40	0.2952458938
41	0.2927832316
42	0.2904015395
43	0.2881804257
44	0.2864777974
45	0.2842831771
46	0.2824513158
47	0.2805938547
48	0.2791529269
49	0.2776189208
50	0.2761432003
51	0.2747264891
52	0.2733768309
53	0.2721130586
54	0.2708787376
55	0.2697716706
56	0.2687368916
57	0.2675383635
58	0.2663692016
59	0.2653840899
60	0.2643691012
61	0.2635156484
62	0.2625676702
63	0.2616222455
64	0.2608325261
65	0.2598697583
66	0.2589495504
67	0.2581514041
68	0.2574981955
69	0.2566948782
70	0.2559745526
71	0.2552573978
72	0.2546156377
73	0.2540286096
74	0.2533765926
75	0.2526748657
76	0.2520489804
77	0.2514730392
78	0.2509085891
79	0.2503411811
80	0.2497909673
81	0.2492990817
82	0.2486806019
83	0.2482338724
84	0.2477840147
85	0.2473222828
86	0.2468810861
87	0.2464026069
88	0.2459991182
89	0.2455851384
90	0.2452258907
91	0.2448432776
92	0.244478114
93	0.2440899469
94	0.2436610286
95	0.2432117668
96	0.2428619248
97	0.2425023365
98	0.2421343215
99	0.2418118029
100	0.2415177355
101	0.2412068571
102	0.2408978938
103	0.2405552444
104	0.2403202927
105	0.2400403978
106	0.2397389889
107	0.2394931632
108	0.2392676598
109	0.239028218
110	0.238781988
111	0.2385516328
112	0.2383335561
113	0.2381028816
114	0.2378644613
115	0.2376384472
116	0.237434777
117	0.2372340009
118	0.2370350123
119	0.2368526007
120	0.2366334813
121	0.2364118296
122	0.2362273113
123	0.2360143205
124	0.23585304
125	0.2356743098
126	0.2354983674
127	0.2353384487
128	0.2351516748
129	0.2350002681
130	0.23481226
131	0.2346461701
132	0.2344525441
133	0.2343009884
134	0.2341111715
135	0.2339365909
136	0.2337904829
137	0.2336406722
138	0.2334818176
139	0.2333508396
140	0.2332116051
141	0.2330473878
142	0.2329385197
143	0.2327879217
144	0.2326443247
145	0.2324701911
146	0.2323416603
147	0.2322074691
148	0.2320673833
149	0.2319438746
150	0.2318068106
151	0.2316720023
152	0.2315520473
153	0.2314297728
154	0.2313278845
155	0.2312085893
156	0.2310918901
157	0.2309482506
158	0.2308254867
159	0.2307328552
160	0.2306210079
161	0.230512459
162	0.2303938234
163	0.2302951058
164	0.2301716184
165	0.2300713686
166	0.2299775454
167	0.2298656556
168	0.2297539147
169	0.2296440464
170	0.2295279857
171	0.2294393122
172	0.2293544266
173	0.2292508359
174	0.2291468621
175	0.2290646365
176	0.2289774314
177	0.2288855234
178	0.2288004036
179	0.2287077508
180	0.2286019896
181	0.2284991863
182	0.2284063206
183	0.2283180302
184	0.2282477213
185	0.2281501954
186	0.2280527334
187	0.227953122
188	0.2278519998
189	0.2277689655
190	0.2276837181
191	0.2276036843
192	0.2275064138
193	0.227417719
194	0.2273433031
195	0.2272628012
196	0.2271687226
197	0.2270970518
198	0.2270210825
199	0.226952327
200	0.2268653347
201	0.22678562
202	0.2267113531
203	0.2266426402
204	0.2265725654
205	0.2264996604
206	0.2264272873
207	0.226361809
208	0.2262950113
209	0.2262252557
210	0.2261571812
211	0.2260943416
212	0.2260142227
213	0.2259451054
214	0.2258722643
215	0.2258062114
216	0.2257365834
217	0.2256836602
218	0.225595689
219	0.2255270825
220	0.2254616468
221	0.2253881884
222	0.2253191564
223	0.2252615729
224	0.2251773044
225	0.2251146775
226	0.2250544128
227	0.224998936
228	0.2249282441
229	0.2248675112
230	0.224798777
231	0.2247403849
232	0.2246830355
233	0.224635411
234	0.2245774232
235	0.2245200525
236	0.2244608943
237	0.2243987995
238	0.2243406627
239	0.224275078
240	0.2242188138
241	0.2241658907
242	0.224107839
243	0.2240364661
244	0.2239807978
245	0.2239152131
246	0.22385348
247	0.2237968116
248	0.2237447609
249	0.2236926463
250	0.2236463412
251	0.2235852253
252	0.2235354941
253	0.2234880185
254	0.2234310735
255	0.2233742986
256	0.2233097353
257	0.2232479384
258	0.2231973986
259	0.2231490931
260	0.2230909138
261	0.2230429489
262	0.2229915578
263	0.2229445505
264	0.222902778
265	0.222853749
266	0.22280555
267	0.2227542015
268	0.2227099605
269	0.2226484403
270	0.2226018159
271	0.2225557662
272	0.2224942033
273	0.2224415568
274	0.2223907829
275	0.2223448183
276	0.2222941295
277	0.222250612
278	0.2222090523
279	0.2221592147
280	0.2221148461
281	0.2220717542
282	0.2220304499
283	0.2219849321
284	0.2219438406
285	0.2219092607
286	0.2218506132
287	0.2217992435
288	0.221752683
289	0.2217096762
290	0.2216611367
291	0.2216141081
292	0.2215711865
293	0.2215325421
294	0.2214874074
295	0.2214402511
296	0.2214031602
297	0.2213484069
298	0.2213025487
299	0.2212543922
300	0.2212103427
301	0.2211738689
302	0.2211221374
303	0.2210779603
304	0.2210297187
305	0.220986712
306	0.2209445564
307	0.2208981236
308	0.2208628415
309	0.2208177919
310	0.2207819778
311	0.2207471851
312	0.2207081577
313	0.2206663852
314	0.2206315074
315	0.2205759668
316	0.2205402591
317	0.2204936986
318	0.2204554373
319	0.2204217937
320	0.2203792551
321	0.2203327159
322	0.2202940077
323	0.2202576191
324	0.2202194003
325	0.2201823732
326	0.2201490489
327	0.2201140434
328	0.2200744627
329	0.22003518
330	0.2199969825
331	0.2199510391
332	0.219904202
333	0.2198703244
334	0.2198321482
335	0.219791844
336	0.2197499651
337	0.2197119591
338	0.2196727402
339	0.2196228175
340	0.2195832794
341	0.219537102
342	0.219505097
343	0.2194671549
344	0.2194306172
345	0.219395633
346	0.2193629896
347	0.2193257923
348	0.2192869777
349	0.2192523553
350	0.2192087314
351	0.2191700445
352	0.2191288891
353	0.2190932452
354	0.2190549839
355	0.2190269157
356	0.2189924848
357	0.2189580964
358	0.2189206012
359	0.2188856595
360	0.2188413973
361	0.2188020081
362	0.2187665983
363	0.2187349338
364	0.2186896714
365	0.2186560066
366	0.2186191923
367	0.2185808459
368	0.2185549269
369	0.2185209854
370	0.2184868098
371	0.2184480804
372	0.2184120535
373	0.2183776013
374	0.2183339774
375	0.2182898641
376	0.2182603701
377	0.2182279821
378	0.2181896144
379	0.2181565028
380	0.2181222634
381	0.2180847682
382	0.2180535718
383	0.2180264824
384	0.2179946051
385	0.2179598337
386	0.217924275
387	0.2179010798
388	0.2178625844
389	0.2178318988
390	0.2177928288
391	0.2177615686
392	0.21772701
393	0.2176818966
394	0.2176536155
395	0.2176259516
396	0.2175942445
397	0.217564559
398	0.2175381294
399	0.2175022514
400	0.2174713955
401	0.2174339854
402	0.2174013633
403	0.2173720608
404	0.2173373745
405	0.2173025819
406	0.2172741093
407	0.2172436365
408	0.2172123975
409	0.2171803287
410	0.2171496856
411	0.217114829
412	0.2170872715
413	0.2170486059
414	0.2170249852
415	0.2169866813
416	0.2169539741
417	0.2169225436
418	0.2168908152
419	0.2168612149
420	0.2168263796
421	0.2168017162
422	0.2167758824
423	0.2167426005
424	0.2167181286
425	0.2166896561
426	0.2166691635
427	0.2166363073
428	0.2166107075
429	0.2165857249
430	0.216552741
431	0.2165183527
432	0.2164899652
433	0.2164552151
434	0.2164318498
435	0.2164049519
436	0.2163741811
437	0.216344368
438	0.2163142569
439	0.2162886358
440	0.2162578438
441	0.2162313716
442	0.2162001539
443	0.2161660422
444	0.2161415915
445	0.2161055646
446	0.2160792201
447	0.2160484706
448	0.2160215089
449	0.2159895039
450	0.2159556475
451	0.2159285369
452	0.2159042352
453	0.2158729963
454	0.2158491202
455	0.2158207328
456	0.2157984101
457	0.2157650645
458	0.2157308889
459	0.2157008842
460	0.2156707093
461	0.2156442371
462	0.2156166795
463	0.2155880155
464	0.2155585853
465	0.2155274102
466	0.2155016615
467	0.215476913
468	0.215446355
469	0.2154164567
470	0.215389261
471	0.2153617886
472	0.2153281663
473	0.215294395
474	0.215270221
475	0.2152452171
476	0.2152171915
477	0.2151890381
478	0.2151623744
479	0.2151266454
480	0.2150969599
481	0.2150694236
482	0.2150400786
483	0.2150060307
484	0.2149809843
485	0.2149566826
486	0.2149324873
487	0.2149030359
488	0.2148745421
489	0.2148462823
490	0.2148252365
491	0.2147960404
492	0.2147682488
493	0.2147416915
494	0.214710942
495	0.2146821289
496	0.214658721
497	0.2146259925
498	0.2145999884
499	0.2145768784
500	0.2145531726
501	0.2145220613
502	0.2144896733
503	0.2144642438
504	0.2144327707
505	0.2144040854
506	0.2143722932
507	0.2143429056
508	0.2143106665
509	0.214286301
510	0.2142576157
511	0.2142327394
512	0.2142046712
513	0.2141775606
514	0.2141465557
515	0.2141206368
516	0.2140975268
517	0.2140750126
518	0.2140494128
519	0.2140270689
520	0.2140008308
521	0.2139770185
522	0.2139447582
