iter	Passed	Remaining
0	52	264443
1	108	270752
2	162	269899
3	215	269587
4	271	271721
5	325	271174
6	374	267283
7	427	266579
8	476	264352
9	526	262651
10	579	262811
11	633	263117
12	684	262486
13	736	262384
14	784	260642
15	838	261245
16	889	260841
17	941	260686
18	990	259607
19	1040	259196
20	1096	259919
21	1148	259921
22	1201	260042
23	1254	260055
24	1307	260148
25	1361	260444
26	1412	260157
27	1464	260086
28	1514	259626
29	1568	259862
30	1622	259999
31	1673	259785
32	1725	259696
33	1779	259892
34	1831	259870
35	1883	259689
36	1938	260031
37	1992	260162
38	2048	260597
39	2099	260362
40	2152	260394
41	2200	259725
42	2252	259678
43	2303	259422
44	2354	259286
45	2405	259076
46	2460	259252
47	2510	258993
48	2560	258706
49	2611	258519
50	2666	258783
51	2722	259041
52	2773	258854
53	2825	258790
54	2879	258909
55	2932	258931
56	2987	259084
57	3042	259233
58	3089	258766
59	3138	258422
60	3191	258421
61	3241	258197
62	3299	258578
63	3355	258788
64	3409	258851
65	3467	259218
66	3522	259345
67	3572	259146
68	3623	258947
69	3671	258588
70	3724	258533
71	3776	258457
72	3826	258265
73	3878	258210
74	3937	258563
75	3995	258862
76	4045	258660
77	4101	258795
78	4151	258608
79	4207	258756
80	4259	258682
81	4313	258679
82	4367	258752
83	4417	258504
84	4466	258287
85	4523	258490
86	4578	258565
87	4635	258728
88	4684	258491
89	4741	258651
90	4798	258872
91	4848	258652
92	4898	258448
93	4952	258472
94	5003	258350
95	5057	258365
96	5108	258239
97	5163	258272
98	5214	258150
99	5273	258422
100	5326	258357
101	5380	258353
102	5428	258068
103	5473	257688
104	5528	257734
105	5582	257755
106	5629	257433
107	5684	257477
108	5738	257503
109	5788	257339
110	5841	257283
111	5888	256996
112	5942	256999
113	5988	256650
114	6045	256819
115	6099	256789
116	6147	256552
117	6211	256993
118	6268	257094
119	6320	257048
120	6374	257039
121	6426	256950
122	6474	256733
123	6524	256560
124	6575	256452
125	6627	256374
126	6677	256213
127	6734	256326
128	6786	256247
129	6840	256242
130	6893	256202
131	6947	256228
132	7004	256337
133	7069	256702
134	7122	256681
135	7175	256632
136	7224	256449
137	7273	256248
138	7324	256152
139	7381	256253
140	7430	256069
141	7479	255873
142	7528	255701
143	7578	255552
144	7632	255563
145	7694	255822
146	7755	256041
147	7810	256057
148	7867	256153
149	7926	256291
150	7976	256150
151	8030	256115
152	8083	256071
153	8135	256017
154	8195	256176
155	8252	256247
156	8306	256235
157	8364	256336
158	8426	256560
159	8479	256501
160	8538	256641
161	8589	256511
162	8642	256476
163	8694	256368
164	8748	256363
165	8797	256195
166	8851	256170
167	8905	256127
168	8957	256066
169	9010	256007
170	9061	255891
171	9108	255676
172	9165	255741
173	9212	255506
174	9270	255594
175	9320	255473
176	9374	255445
177	9426	255359
178	9474	255178
179	9525	255075
180	9581	255096
181	9628	254879
182	9683	254891
183	9732	254733
184	9782	254610
185	9833	254496
186	9889	254528
187	9945	254555
188	9994	254418
189	10049	254419
190	10110	254556
191	10167	254599
192	10216	254465
193	10272	254485
194	10319	254272
195	10374	254278
196	10435	254421
197	10487	254358
198	10543	254366
199	10593	254245
200	10642	254099
201	10692	253966
202	10739	253781
203	10785	253570
204	10838	253510
205	10887	253362
206	10935	253196
207	10984	253073
208	11034	252958
209	11078	252685
210	11133	252691
211	11180	252503
212	11236	252528
213	11282	252333
214	11335	252279
215	11386	252195
216	11437	252090
217	11488	251999
218	11552	252198
219	11607	252197
220	11655	252033
221	11708	251994
222	11757	251869
223	11800	251603
224	11846	251411
225	11890	251177
226	11944	251139
227	12000	251176
228	12050	251067
229	12105	251062
230	12160	251058
231	12215	251048
232	12264	250918
233	12312	250769
234	12360	250623
235	12413	250589
236	12469	250590
237	12521	250538
238	12572	250453
239	12614	250190
240	12654	249878
241	12708	249863
242	12759	249776
243	12806	249622
244	12855	249509
245	12905	249398
246	12961	249410
247	13014	249378
248	13067	249329
249	13117	249223
250	13168	249151
251	13218	249046
252	13271	249019
253	13313	248756
254	13361	248636
255	13415	248599
256	13470	248598
257	13534	248752
258	13582	248632
259	13631	248515
260	13686	248509
261	13737	248430
262	13789	248364
263	13838	248251
264	13893	248248
265	13950	248271
266	13998	248150
267	14044	247982
268	14095	247902
269	14150	247898
270	14201	247815
271	14253	247752
272	14308	247751
273	14357	247643
274	14412	247629
275	14465	247583
276	14517	247529
277	14570	247489
278	14613	247282
279	14668	247277
280	14710	247039
281	14757	246901
282	14813	246911
283	14869	246915
284	14921	246857
285	14977	246873
286	15030	246824
287	15079	246718
288	15134	246714
289	15189	246705
290	15250	246785
291	15305	246773
292	15358	246730
293	15413	246720
294	15463	246625
295	15514	246552
296	15566	246494
297	15621	246482
298	15663	246269
299	15710	246125
300	15758	246017
301	15804	245853
302	15848	245675
303	15904	245680
304	15959	245664
305	16005	245519
306	16051	245377
307	16104	245331
308	16153	245235
309	16199	245086
310	16252	245034
311	16299	244908
312	16348	244816
313	16402	244790
314	16461	244838
315	16513	244771
316	16564	244704
317	16620	244703
318	16667	244582
319	16723	244587
320	16776	244540
321	16823	244404
322	16871	244290
323	16920	244195
324	16976	244195
325	17027	244125
326	17081	244106
327	17131	244016
328	17187	244026
329	17238	243946
330	17291	243908
331	17337	243764
332	17386	243673
333	17433	243548
334	17489	243541
335	17534	243390
336	17590	243394
337	17646	243399
338	17696	243318
339	17745	243222
340	17793	243108
341	17848	243095
342	17896	242988
343	17950	242951
344	18001	242889
345	18055	242865
346	18101	242733
347	18156	242716
348	18212	242716
349	18266	242678
350	18318	242622
351	18360	242447
352	18411	242370
353	18460	242277
354	18513	242243
355	18557	242081
356	18601	241918
357	18651	241849
358	18704	241804
359	18757	241767
360	18807	241684
361	18858	241614
362	18909	241545
363	18960	241480
364	19010	241409
365	19067	241414
366	19117	241334
367	19160	241177
368	19202	240993
369	19250	240893
370	19300	240818
371	19353	240775
372	19400	240654
373	19452	240606
374	19502	240525
375	19549	240421
376	19600	240356
377	19641	240166
378	19695	240136
379	19737	239970
380	19787	239887
381	19842	239874
382	19891	239783
383	19944	239746
384	19989	239618
385	20044	239598
386	20100	239590
387	20153	239558
388	20199	239437
389	20241	239269
390	20288	239150
391	20342	239133
392	20391	239039
393	20439	238940
394	20483	238799
395	20532	238711
396	20581	238626
397	20636	238618
398	20687	238552
399	20738	238490
400	20791	238459
401	20838	238350
402	20883	238219
403	20932	238128
404	20983	238074
405	21037	238048
406	21088	237984
407	21136	237888
408	21190	237861
409	21237	237752
410	21288	237692
411	21343	237677
412	21390	237573
413	21433	237424
414	21484	237362
415	21531	237262
416	21583	237206
417	21634	237151
418	21682	237063
419	21730	236964
420	21778	236878
421	21829	236808
422	21880	236754
423	21924	236622
424	21971	236517
425	22022	236455
426	22073	236402
427	22127	236367
428	22176	236293
429	22223	236192
430	22276	236146
431	22326	236086
432	22376	236016
433	22428	235967
434	22476	235873
435	22530	235849
436	22578	235757
437	22626	235663
438	22679	235628
439	22728	235549
440	22778	235483
441	22829	235424
442	22876	235327
443	22925	235249
444	22977	235192
445	23035	235214
446	23086	235149
447	23141	235136
448	23186	235012
449	23239	234979
450	23285	234863
451	23336	234807
452	23386	234744
453	23433	234648
454	23477	234517
455	23533	234507
456	23586	234474
457	23632	234362
458	23678	234253
459	23732	234232
460	23775	234096
461	23826	234037
462	23885	234055
463	23935	233991
464	23990	233968
465	24037	233871
466	24090	233835
467	24142	233786
468	24191	233716
469	24241	233650
470	24298	233645
471	24341	233516
472	24389	233425
473	24444	233410
474	24498	233377
475	24548	233318
476	24596	233231
477	24640	233103
478	24683	232971
479	24734	232914
480	24785	232857
481	24836	232801
482	24886	232739
483	24937	232679
484	24992	232658
485	25040	232582
486	25097	232574
487	25145	232495
488	25197	232444
489	25247	232384
490	25298	232324
491	25343	232216
492	25390	232120
493	25433	231992
494	25482	231918
495	25530	231830
496	25585	231816
497	25632	231718
498	25677	231611
499	25731	231580
