iter	Passed	Remaining
0	102	510855
1	197	492631
2	292	487504
3	385	481111
4	478	478193
5	581	483645
6	675	481958
7	771	481125
8	864	479637
9	955	476934
10	1050	476440
11	1146	476413
12	1232	472859
13	1326	472378
14	1416	470697
15	1507	469447
16	1602	469772
17	1694	468924
18	1791	469556
19	1883	469059
20	1975	468462
21	2072	468875
22	2162	467842
23	2262	469063
24	2353	468415
25	2450	468824
26	2539	467798
27	2635	467932
28	2726	467302
29	2823	467840
30	2914	467157
31	3010	467435
32	3110	468110
33	3206	468400
34	3302	468424
35	3395	468253
36	3493	468606
37	3584	468010
38	3679	468087
39	3776	468250
40	3870	468190
41	3962	467814
42	4059	467975
43	4162	468830
44	4255	468557
45	4352	468778
46	4449	468862
47	4541	468543
48	4635	468422
49	4729	468176
50	4828	468522
51	4930	469157
52	5020	468575
53	5113	468351
54	5210	468481
55	5305	468437
56	5407	468896
57	5508	469353
58	5599	468911
59	5696	469046
60	5796	469330
61	5884	468656
62	5982	468837
63	6089	469638
64	6181	469302
65	6284	469794
66	6390	470526
67	6482	470205
68	6564	469097
69	6672	469924
70	6769	469941
71	6863	469792
72	6967	470270
73	7057	469780
74	7161	470259
75	7272	471203
76	7380	471867
77	7487	472483
78	7591	472855
79	7698	473433
80	7801	473787
81	7896	473616
82	8009	474477
83	8096	473834
84	8190	473610
85	8287	473531
86	8375	472992
87	8482	473480
88	8574	473124
89	8671	473099
90	8764	472802
91	8848	472058
92	8933	471385
93	9022	470906
94	9127	471246
95	9223	471167
96	9319	471075
97	9429	471655
98	9526	471629
99	9616	471222
100	9706	470818
101	9814	471271
102	9908	471109
103	10003	470941
104	10096	470700
105	10193	470624
106	10296	470854
107	10391	470686
108	10491	470783
109	10577	470230
110	10689	470799
111	10785	470698
112	10878	470463
113	10972	470265
114	11059	469790
115	11161	469956
116	11260	469937
117	11344	469373
118	11444	469418
119	11533	469026
120	11627	468854
121	11725	468834
122	11814	468463
123	11919	468710
124	12004	468164
125	12095	467888
126	12210	468506
127	12313	468664
128	12409	468577
129	12512	468730
130	12606	468553
131	12697	468268
132	12792	468125
133	12880	467737
134	12984	467913
135	13082	467880
136	13188	468158
137	13299	468564
138	13394	468410
139	13497	468564
140	13586	468187
141	13678	467963
142	13777	467946
143	13870	467743
144	13958	467382
145	14045	466971
146	14143	466937
147	14242	466926
148	14330	466549
149	14415	466093
150	14501	465691
151	14597	465580
152	14697	465621
153	14801	465782
154	14882	465192
155	14968	464796
156	15078	465117
157	15171	464954
158	15249	464303
159	15335	463902
160	15439	464056
161	15534	463920
162	15618	463487
163	15728	463798
164	15832	463930
165	15923	463686
166	16011	463386
167	16106	463241
168	16200	463093
169	16285	462691
170	16381	462604
171	16464	462163
172	16560	462067
173	16658	462042
174	16758	462063
175	16852	461914
176	16941	461637
177	17038	461572
178	17128	461310
179	17222	461167
180	17310	460893
181	17403	460724
182	17493	460464
183	17582	460210
184	17671	459936
185	17761	459691
186	17855	459553
187	17966	459853
188	18042	459267
189	18146	459405
190	18253	459582
191	18347	459448
192	18443	459370
193	18534	459163
194	18629	459051
195	18719	458818
196	18808	458576
197	18894	458236
198	18988	458113
199	19087	458094
200	19182	457997
201	19285	458067
202	19376	457871
203	19466	457655
204	19556	457429
205	19640	457071
206	19729	456838
207	19825	456739
208	19923	456718
209	20008	456381
210	20103	456287
211	20190	455994
212	20269	455549
213	20354	455223
214	20441	454939
215	20524	454575
216	20614	454380
217	20704	454175
218	20803	454170
219	20906	454233
220	20987	453843
221	21084	453789
222	21184	453799
223	21275	453632
224	21372	453561
225	21449	453106
226	21548	453089
227	21647	453075
228	21739	452932
229	21831	452768
230	21927	452688
231	22017	452493
232	22118	452526
233	22203	452239
234	22292	452017
235	22381	451800
236	22481	451806
237	22585	451901
238	22683	451860
239	22786	451935
240	22869	451596
241	22974	451714
242	23063	451497
243	23176	451758
244	23262	451488
245	23368	451605
246	23446	451185
247	23528	450841
248	23619	450658
249	23702	450340
250	23787	450062
251	23886	450051
252	23970	449753
253	24052	449426
254	24150	449381
255	24247	449336
256	24343	449258
257	24447	449341
258	24535	449124
259	24614	448740
260	24709	448649
261	24812	448702
262	24909	448648
263	25000	448485
264	25080	448142
265	25169	447940
266	25254	447671
267	25348	447574
268	25429	447232
269	25535	447352
270	25626	447190
271	25739	447416
272	25848	447564
273	25944	447497
274	26044	447484
275	26143	447478
276	26237	447366
277	26325	447158
278	26423	447112
279	26519	447042
280	26612	446911
281	26697	446666
282	26803	446763
283	26893	446589
284	26973	446238
285	27051	445881
286	27140	445687
287	27231	445545
288	27312	445216
289	27393	444915
290	27481	444708
291	27568	444495
292	27663	444402
293	27761	444378
294	27854	444258
295	27956	444285
296	28052	444214
297	28148	444136
298	28234	443906
299	28336	443931
300	28428	443812
301	28515	443594
302	28628	443792
303	28704	443412
304	28796	443280
305	28890	443171
306	28976	442948
307	29068	442828
308	29153	442578
309	29233	442269
310	29327	442179
311	29419	442045
312	29504	441818
313	29602	441780
314	29683	441479
315	29794	441637
316	29874	441335
317	29968	441232
318	30048	440930
319	30122	440536
320	30212	440394
321	30302	440233
322	30399	440177
323	30483	439941
324	30582	439920
325	30670	439739
326	30759	439563
327	30844	439340
328	30935	439211
329	31024	439037
330	31110	438841
331	31199	438673
332	31282	438427
333	31364	438169
334	31444	437869
335	31536	437761
336	31635	437727
337	31733	437701
338	31828	437623
339	31944	437826
340	32036	437706
341	32134	437672
342	32213	437367
343	32316	437398
