iter	Logloss
0	0.6659441564
1	0.6420639062
2	0.6189979537
3	0.595835816
4	0.575785357
5	0.5566934311
6	0.5389897652
7	0.522218075
8	0.5068389007
9	0.4917433028
10	0.4787486721
11	0.4663552846
12	0.4542677321
13	0.4431522894
14	0.4319433426
15	0.4222062008
16	0.4126881571
17	0.4045415623
18	0.395760102
19	0.3877075219
20	0.3803835239
21	0.3732973078
22	0.3666809526
23	0.3605484178
24	0.354965352
25	0.3494521695
26	0.3443000649
27	0.3398518577
28	0.3355361393
29	0.3310922093
30	0.3269536038
31	0.3231173648
32	0.3195876844
33	0.3160207854
34	0.3127917265
35	0.3098228574
36	0.3066173767
37	0.303597691
38	0.3012141263
39	0.298778979
40	0.2961466945
41	0.2937887082
42	0.2916791438
43	0.2898461546
44	0.2878376912
45	0.2859231573
46	0.283901096
47	0.2822296002
48	0.2804202318
49	0.2787816347
50	0.2772393081
51	0.2759758762
52	0.2746986337
53	0.2732658774
54	0.27214251
55	0.2710104604
56	0.269832212
57	0.2686729454
58	0.2676022884
59	0.2664784528
60	0.2653494462
61	0.264330542
62	0.2633826914
63	0.2625182156
64	0.261498141
65	0.260652881
66	0.2598178991
67	0.259033372
68	0.2583362629
69	0.2574545503
70	0.2566626391
71	0.2558166343
72	0.2551694265
73	0.2545149623
74	0.2537269666
75	0.2531418537
76	0.2523667749
77	0.2517963451
78	0.2511515846
79	0.2506217144
80	0.2501049526
81	0.2496621386
82	0.2490354234
83	0.2484457353
84	0.2479730017
85	0.2475088652
86	0.2470340036
87	0.2464682129
88	0.246031868
89	0.2455563893
90	0.2452060365
91	0.244859046
92	0.2444904564
93	0.2440201274
94	0.2436578154
95	0.2432613277
96	0.2429295737
97	0.2426027778
98	0.2422655973
99	0.2419422275
100	0.2416682059
101	0.2413774157
102	0.241039916
103	0.2407905791
104	0.2404284373
105	0.2401779726
106	0.2399410631
107	0.2397263486
108	0.2394047238
109	0.2391466196
110	0.2389068586
111	0.2386483713
112	0.2384243788
113	0.2381937044
114	0.2379796496
115	0.2377321002
116	0.237513683
117	0.2372494714
118	0.2370216272
119	0.2367994648
120	0.2365387644
121	0.2363528416
122	0.2361463625
123	0.2359782298
124	0.235818375
125	0.2356272599
126	0.2354787048
127	0.2352710339
128	0.2350878989
129	0.2349336407
130	0.2347423341
131	0.2345863735
132	0.2344137933
133	0.2342841773
134	0.2341223647
135	0.2339741926
136	0.233820594
137	0.2336616117
138	0.2334934364
139	0.2333384547
140	0.2331629379
141	0.232990081
142	0.2328140747
143	0.2326764361
144	0.2325475223
145	0.2323972648
146	0.2322496246
147	0.232137522
148	0.2320086507
149	0.2318522645
150	0.231711817
151	0.2315697522
152	0.2314383274
153	0.2313261396
154	0.2312091638
155	0.2311057859
156	0.2310009397
157	0.230891263
158	0.2307587741
159	0.2306518425
160	0.2305211625
161	0.2304067828
162	0.2303263873
163	0.2302136675
164	0.2300879457
165	0.2299956759
166	0.2298893614
167	0.2297906864
168	0.2297022044
169	0.229616191
170	0.2295132812
171	0.2294331197
172	0.2293458933
173	0.2292538151
174	0.2291285188
175	0.229022183
176	0.228914762
177	0.2288198961
178	0.2287251153
179	0.2286281639
180	0.2285411928
181	0.2284524981
182	0.2283742305
183	0.2282790667
184	0.2281857116
185	0.2281003578
186	0.2280274315
187	0.2279475892
188	0.2278696834
189	0.2277803077
190	0.2276975075
191	0.2276126432
192	0.2275372058
193	0.2274672161
194	0.2273760104
195	0.2273002538
196	0.2272326262
197	0.2271531882
198	0.2270694092
199	0.2269876517
200	0.2269059368
201	0.2268282863
202	0.2267534874
203	0.2266928183
204	0.2266255737
205	0.2265580312
206	0.2264766568
207	0.2264106039
208	0.2263473386
209	0.2262801792
210	0.2262032097
211	0.2261385613
212	0.2260696781
213	0.225988708
214	0.2259219742
215	0.2258626457
216	0.2257896981
217	0.2257129627
218	0.225646697
219	0.2255691955
220	0.2255036108
221	0.2254356214
222	0.2253735053
223	0.2253055159
224	0.2252375691
225	0.2251726228
226	0.2251153585
227	0.2250404531
228	0.2249832314
229	0.2249107945
230	0.2248373575
231	0.224782583
232	0.224710593
233	0.2246422206
234	0.2245853819
235	0.2245315437
236	0.2244652992
237	0.2244029916
238	0.2243480043
239	0.2242964856
240	0.2242501166
241	0.2241932566
242	0.2241232244
243	0.2240676412
244	0.2240041845
245	0.2239531978
246	0.2238981892
247	0.2238450106
248	0.223788555
249	0.2237441863
250	0.2236845812
251	0.2236293598
252	0.2235782242
253	0.2235180871
254	0.2234568647
255	0.2234016008
256	0.2233444854
257	0.2232927326
258	0.2232332553
259	0.2231860989
260	0.2231190459
261	0.2230731238
262	0.223020456
263	0.2229653622
264	0.2229100131
265	0.2228586647
266	0.222810572
267	0.2227550527
268	0.2227156636
269	0.2226638257
270	0.2226102002
271	0.2225595327
272	0.2225142703
273	0.2224604959
274	0.2224082112
275	0.2223586289
276	0.2223158776
277	0.222271211
278	0.2222243951
279	0.2221719401
280	0.2221261883
281	0.2220776488
282	0.2220252789
283	0.2219785056
284	0.2219320089
285	0.221889364
286	0.2218463147
287	0.2217983071
288	0.2217555558
289	0.2217040583
290	0.2216668185
291	0.221628238
292	0.2215802943
293	0.2215355
294	0.2214926848
295	0.2214371655
296	0.2213866682
297	0.2213368945
298	0.2212970372
299	0.2212489871
300	0.2212053207
301	0.2211597816
302	0.2211114762
303	0.2210700654
304	0.2210277609
305	0.2209860948
306	0.2209530046
307	0.2209177863
308	0.2208791419
309	0.2208383696
310	0.2207971929
311	0.2207546118
312	0.2207112859
313	0.2206686196
314	0.2206319968
315	0.2205894583
316	0.2205450045
317	0.2205070411
318	0.2204716313
319	0.22043337
320	0.2203942575
321	0.2203431431
322	0.2203076907
323	0.2202697699
324	0.2202308702
325	0.220189119
326	0.2201459633
327	0.2201106599
328	0.2200731434
329	0.2200324136
330	0.2199931947
331	0.2199492091
332	0.2199046702
333	0.21986543
334	0.2198178906
335	0.2197849067
336	0.2197534124
337	0.219711108
338	0.2196737191
339	0.2196305421
340	0.219593813
341	0.2195534662
342	0.2195197163
343	0.2194872857
344	0.2194556424
345	0.2194099757
346	0.2193736083
347	0.2193296865
348	0.219294681
349	0.2192589946
350	0.2192131789
351	0.219174109
352	0.2191393588
353	0.2191022041
354	0.2190706672
355	0.2190303631
356	0.2189953789
357	0.2189589476
358	0.2189182817
359	0.218884936
360	0.2188418229
361	0.2188008803
362	0.2187697052
363	0.2187366362
364	0.2187014605
365	0.2186690299
366	0.2186376207
367	0.2186009341
368	0.2185708868
369	0.2185296463
370	0.2184983861
371	0.2184624869
372	0.2184252896
373	0.2183903479
374	0.2183512993
375	0.2183070157
376	0.2182644133
377	0.2182354939
378	0.2181981263
379	0.2181665044
380	0.2181263704
381	0.2180882581
382	0.2180591259
383	0.2180293765
384	0.2179937326
385	0.2179542158
386	0.2179194657
387	0.2178909506
388	0.2178564133
389	0.2178216631
390	0.217781891
391	0.2177496944
392	0.2177192003
393	0.2176871527
394	0.2176550626
395	0.2176190357
396	0.2175922868
397	0.2175525572
398	0.2175154024
399	0.2174799926
400	0.2174494985
401	0.217412365
402	0.2173721247
403	0.217341056
404	0.2173097319
405	0.217272641
406	0.2172336774
407	0.217200651
408	0.2171746895
409	0.2171464936
410	0.2171164038
411	0.2170868034
412	0.2170561603
413	0.2170303477
414	0.216998896
415	0.2169604644
416	0.2169305449
417	0.2168962629
418	0.2168638749
419	0.2168368706
420	0.2168056104
421	0.2167663064
422	0.2167359612
423	0.2167050628
424	0.2166728449
425	0.216646926
426	0.2166155381
427	0.2165808518
428	0.21655289
429	0.2165254389
430	0.2164903696
431	0.2164600669
432	0.2164290408
433	0.2163945886
434	0.2163643924
435	0.216331749
436	0.2163004462
437	0.2162683773
438	0.2162367128
439	0.2162079424
440	0.2161777461
441	0.2161514441
442	0.2161317602
443	0.216094648
444	0.2160649625
445	0.2160381498
446	0.2160069747
447	0.2159699051
448	0.2159431136
449	0.2159131302
450	0.2158874241
451	0.215861037
452	0.2158343945
453	0.2158066242
454	0.2157821948
455	0.2157510836
456	0.2157263563
457	0.2156994585
458	0.2156703262
459	0.2156492378
460	0.2156284473
461	0.215603337
462	0.2155772266
463	0.2155478815
464	0.2155169192
465	0.2154912131
466	0.2154620383
467	0.2154420777
468	0.2154122646
469	0.2153820258
470	0.2153588094
471	0.2153300176
472	0.2152998853
473	0.2152700721
474	0.215233194
475	0.2152071261
476	0.2151776959
477	0.2151523302
478	0.2151219638
479	0.2150915122
480	0.215064359
481	0.2150390572
482	0.2150105634
483	0.2149881343
484	0.214960215
485	0.214933679
486	0.2149070791
487	0.2148780107
488	0.2148469207
489	0.2148174693
490	0.2147871028
491	0.2147614818
492	0.2147407126
493	0.2147158576
494	0.2146895344
495	0.2146633813
496	0.2146282907
497	0.2146087983
498	0.2145799853
499	0.2145570242
500	0.2145342334
501	0.21450957
502	0.2144887157
503	0.2144567319
504	0.2144310471
505	0.2144030214
506	0.2143761874
507	0.2143526305
